,Date,Country,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee ou Terceiro,Critical risk,Year,Month,Day,Weekday,WeekofYear,Season
216,2016-08-30,Argentina,Local_06,Metals,I,II,Male,Third Party,Others,2016,8,30,Tuesday,35,Winter
217,2016-09-01,Brazil,Local_05,Metals,II,IV,Male,Third Party (Remote),Manual Tools,2016,9,1,Thursday,35,Spring
218,2016-09-02,Argentina,Local_03,Mining,I,I,Male,Third Party,Others,2016,9,2,Friday,35,Spring
219,2016-09-04,Argentina,Local_03,Mining,I,III,Male,Third Party,Others,2016,9,4,Sunday,35,Spring
220,2016-09-03,Argentina,Local_04,Mining,III,IV,Male,Employee,Others,2016,9,3,Saturday,35,Spring
221,2016-09-04,Argentina,Local_06,Metals,IV,IV,Male,Employee,Suspended Loads,2016,9,4,Sunday,35,Spring
222,2016-09-06,Brazil,Local_02,Mining,I,II,Male,Employee,Others,2016,9,6,Tuesday,36,Spring
223,2016-09-05,Brazil,Local_05,Metals,I,II,Female,Employee,Venomous Animals,2016,9,5,Monday,36,Spring
224,2016-09-06,Brazil,Local_07,Mining,I,II,Male,Employee,Others,2016,9,6,Tuesday,36,Spring
225,2016-09-13,Argentina,Local_03,Mining,I,IV,Male,Third Party,Others,2016,9,13,Tuesday,37,Spring
226,2016-09-12,Argentina,Local_11,Others,III,IV,Female,Employee,Others,2016,9,12,Monday,37,Spring
227,2016-09-13,Brazil,Local_05,Metals,I,II,Male,Employee,Suspended Loads,2016,9,13,Tuesday,37,Spring
228,2016-09-15,Chile,Local_10,Others,I,I,Male,Third Party,Others,2016,9,15,Thursday,37,Spring
229,2016-09-17,Argentina,Local_06,Metals,I,II,Male,Third Party,Pressed,2016,9,17,Saturday,37,Spring
230,2016-09-16,Brazil,Local_05,Metals,II,IV,Male,Employee,Pressurized Systems,2016,9,16,Friday,37,Spring
231,2016-09-20,Chile,Local_10,Others,I,I,Male,Third Party,Fall,2016,9,20,Tuesday,38,Spring
232,2016-09-20,Brazil,Local_05,Metals,I,II,Male,Third Party (Remote),Blocking and isolation of energies,2016,9,20,Tuesday,38,Spring
233,2016-09-20,Argentina,Local_06,Metals,I,II,Male,Third Party,Others,2016,9,20,Tuesday,38,Spring
